model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0655,Skewness + Kurtosis + Mean + Std + VIX + T-2 Return,6,1196,0.03285625240319945,0.02797579614955714,-4954.019031400551,-4918.411865858977,Skewness + Kurtosis,2.8908674025169597e-06,True
model_0657,Skewness + Kurtosis + Mean + Std + VIX + T-4 Return,6,1196,0.0304819666211551,0.025589529110412457,-4951.0865139668085,-4915.479348425234,Skewness + Kurtosis,2.9383613552063573e-06,True
model_0515,Skewness + Kurtosis + Std,3,1196,0.02817832986725266,0.025732469959200532,-4954.248112376573,-4933.90116063853,Skewness + Kurtosis,3.099199022997662e-06,True
model_0535,Skewness + Kurtosis + Std + T-2 Return,4,1196,0.031030357401948816,0.027776051297505266,-4955.763201674917,-4930.329512002364,Skewness + Kurtosis,3.184994955079514e-06,True
model_0526,Skewness + Kurtosis + Mean + VIX,4,1196,0.02912840581327325,0.02586771196210036,-4953.417922292426,-4927.984232619873,Skewness + Kurtosis,3.2319574507320242e-06,True
model_0537,Skewness + Kurtosis + Std + T-4 Return,4,1196,0.02867584882009977,0.02541363504619576,-4952.860555018892,-4927.42686534634,Skewness + Kurtosis,3.260339729805841e-06,True
model_0578,Skewness + Kurtosis + Mean + VIX + T-2 Return,5,1196,0.03196948691403667,0.027902131817036824,-4954.922932076765,-4924.402504469702,Skewness + Kurtosis,3.3115379876546394e-06,True
model_0606,Skewness + Kurtosis + Std + T-2 Return + T-4 Return,5,1196,0.031574511195147204,0.027505496536303298,-4954.435039797384,-4923.91461219032,Skewness + Kurtosis,3.3571964228532397e-06,True
model_0580,Skewness + Kurtosis + Mean + VIX + T-4 Return,5,1196,0.029598709322299577,0.025521392974914292,-4951.997421457313,-4921.4769938502495,Skewness + Kurtosis,3.3631982457917773e-06,True
model_0693,Skewness + Kurtosis + Mean + VIX + T-2 Return + T-4 Return,6,1196,0.03248504956446996,0.02760272012577103,-4953.560078510288,-4917.9529129687135,Skewness + Kurtosis,3.451200751168652e-06,True
model_0588,Skewness + Kurtosis + Std + Median + VIX,5,1196,0.02957856545495008,0.02550116446946671,-4951.972594805154,-4921.45216719809,Skewness + Kurtosis,3.5875495203762004e-06,True
model_0705,Skewness + Kurtosis + Std + Median + VIX + T-2 Return,6,1196,0.03243780527839346,0.02755523743286825,-4953.5016785996695,-4917.894513058095,Skewness + Kurtosis,3.6584957043635036e-06,True
